Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,How many years have you been practicing? ,What's your experience with telemedicine during the COVID Pandemic?,In what setting did you use Telemedicine? ,,,,,Which telemedicine platform services did you use? ,,,,,,,,,,,How satisfied are you with the telemedicine services provided? ,Did you have any technical issues during your use of telemedicine services or encountered any barriers? ,,,,,,,,,,How likely are to incorporate telemedicine in your daily practice? ,How many of these Telemedicine options are you familiar with? ,,,,,,,,,,,,,,,,"Do you think telemedicine had an impact on patient care? If Yes or No, How?",,Do you have any feedback on how telemedicine could improve and what is most important to you.  
12073382319,393825455,10/13/2020 17:42,10/13/2020 17:46,67.241.164.247,,,,,22,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,,,,,,,,,,,MEDENT ,4,,,,,,,,,,Some initial connection problems but easily resolved,2,,,,,Microsoft Teams,,Facetime,,,,,,,,,Zoom,"Good for routine check in, medicine adjustments. I also did a prosthetic clinic via telemedicine- worked great",I do lots of injections which obviously can’t be done on video ,Worked better than I thought but I still prefer face to face in most situations. Great as a backup though
12072471787,393825455,10/13/2020 12:52,10/13/2020 12:53,66.44.35.249,,,,,8,I started using telemedicine due to the COVID Pandemic,Outpatient,Inpatient,,,,Doxy.me,Zoom,Doximity,,Microsoft Teams,,,,,,,3,Difficulty with Application or Web interface,Difficulty with Login,Internet or WIFI issues,Poor Connection during call,Poor Audio during call,Poor Video during call,Difficulties on the patients side,Patients had difficulties with access,,,3,Doxy.me,Zoom for Healthcare,Doximity,Cisco Webex Meetings / Webex Teams,Microsoft Teams,Skype,Facetime,Google Hangouts or Google Meet,,,,GoToMeeting,,,Teladoc,,"It allowed patients increased access to providers during the pandemic, both in the inpatient and outpatient setting.",,
12072302371,393825455,10/13/2020 11:55,10/13/2020 12:03,161.136.216.20,,,,,3,I started using telemedicine due to the COVID Pandemic,,Inpatient,Communication with family,,,,Zoom,,,Microsoft Teams,,Facetime,,,,,3,,,Internet or WIFI issues,Poor Connection during call,,,,,,,5 - Definitely would use,,Zoom for Healthcare,,,Microsoft Teams,,Facetime,,,,,,,,,,Engagement with family as inpatient,,standardization and commitment to the technology
12071153633,393825455,10/13/2020 5:39,10/13/2020 5:41,68.133.68.80,,,,,17,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,Zoom,Doximity,,,,,,,,,4,,,,Poor Connection during call,,,,Patients had difficulties with access,,Pts had challenges with downloading applications,3,Doxy.me,Zoom for Healthcare,Doximity,,Microsoft Teams,Skype,Facetime,,,,,GoToMeeting,,,,,,,Must be quick and easy for providers and patients
12070424395,393825455,10/12/2020 21:42,10/12/2020 21:45,76.180.51.10,,,,,30,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,Zoom,,,,,,,,,Phone only,4,,,,,,,,,No issues,,2,,,,,,,,,,,,,,,,Phone calls,Made them still feel connected and cared about even if they couldn’t physically come in,,
12069932887,393825455,10/12/2020 17:44,10/12/2020 17:46,67.99.162.16,,,,,20,I started using telemedicine due to the COVID Pandemic,Outpatient,,Communication with family,Follow-up Appointments,,Doxy.me,Zoom,,,,,,,,,,3,,,,,,Poor Video during call,Difficulties on the patients side,Patients had difficulties with access,,,5 - Definitely would use,Doxy.me,Zoom for Healthcare,,,,Skype,Facetime,,,,,GoToMeeting,,,,,Allows care for those who cannot get to the office.,,Kill Skype.
12069563102,393825455,10/12/2020 15:03,10/12/2020 15:05,161.136.4.151,,,,,24,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,,Zoom,Doximity,,,,,,,,,3,,,Internet or WIFI issues,,Poor Audio during call,,,,,,1 - Would not use,,Zoom for Healthcare,Doximity,,Microsoft Teams,,,,,,,,,,,,Kept connection Improved compliance,,PE is so limited but essential for card f/u
12069460190,393825455,10/12/2020 14:24,10/12/2020 14:26,184.53.17.62,,,,,12,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,Doxy.me,,,,,,,,,,,5 - Extremely Satisfied,,,,,Poor Audio during call,Poor Video during call,,,,,5 - Definitely would use,Doxy.me,,,,,,,,,,,,,,,,It makes care easier and safer.  It should already have been part of standard care.,,
12068941738,393825455,10/12/2020 11:25,10/12/2020 11:27,64.128.125.142,,,,,20,I started using telemedicine due to the COVID Pandemic,,Inpatient,,,,,Zoom,,,,,,,,,,5 - Extremely Satisfied,,,,,,,,,No issues,,5 - Definitely would use,,,,,,,,,,,,GoToMeeting,,,,,yes,,no
12068869870,393825455,10/12/2020 11:02,10/12/2020 11:05,128.205.115.160,,,,,19,I have used telemedicine prior to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,Zoom,,,,,Facetime,,,,not sure,4,,,Internet or WIFI issues,,,,Difficulties on the patients side,,,,5 - Definitely would use,,Zoom for Healthcare,,,,,Facetime,,,,,,,,,,"facilitates, reduces cost, reduces commute",,having all the data accessible through EMR greatly facilitates telemedicine
12068815900,393825455,10/12/2020 10:46,10/12/2020 10:49,108.17.5.117,,,,,40,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,Zoom,Doximity,,,,,,,,,3,,,,,,,,,No issues,,4,,Zoom for Healthcare,Doximity,Cisco Webex Meetings / Webex Teams,,Skype,,,,,,,,,,,Patient friendly. No transportation issues,Limited physical examination ,good for routine follow-up visits 
12068785443,393825455,10/12/2020 10:37,10/12/2020 10:38,128.205.100.238,,,,,11,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,Doxy.me,,,,,,,,,,,4,,,Internet or WIFI issues,Poor Connection during call,Poor Audio during call,Poor Video during call,Difficulties on the patients side,,,,2,Doxy.me,,,,,,,,,,,,,,,,,,
12068731518,393825455,10/12/2020 10:18,10/12/2020 10:21,161.136.4.150,,,,,7,I started using telemedicine due to the COVID Pandemic,Outpatient,,Communication with family,Follow-up Appointments,,,Zoom,Doximity,,,,,,,,,4,,,Internet or WIFI issues,,,,,Patients had difficulties with access,,,5 - Definitely would use,Doxy.me,Zoom for Healthcare,Doximity,,Microsoft Teams,Skype,Facetime,,,,,,,,,,"for some patients, less access because they only benefit with in person visits, but for most, it improved care due to ongoing and increased access with the pandemic",,ensure HIPPA compliant option is available
12068707760,393825455,10/12/2020 10:11,10/12/2020 10:14,128.205.63.135,,,,,>30,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,Doxy.me,,,,,,,,,,,4,,,Internet or WIFI issues,Poor Connection during call,,,Difficulties on the patients side,Patients had difficulties with access,,,5 - Definitely would use,Doxy.me,,,,,,,,,,,,,,,,I feel that I am so fully focused on the patient. Most of what I've done are annual visits for mainly healthy folks. So ca careful history is what is paramount!,,Figuring out how to use the iPhone apps to conduct more of an exam. 
12068684728,393825455,10/12/2020 10:04,10/12/2020 10:06,72.231.200.25,,,,,17,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,,,,,,Facetime,,,,Phone,3,,,,,,,,Patients had difficulties with access,,,4,,Zoom for Healthcare,,,,Skype,Facetime,,,,,GoToMeeting,,,,,Can help patients with difficulties to access to care,,Universal platform with specific patient instructions published on ecmc website
12068672064,393825455,10/12/2020 10:00,10/12/2020 10:02,208.49.42.227,,,,,20,I have used telemedicine prior to the COVID Pandemic,Outpatient,Inpatient,,,,,Zoom,,,,,,,,,mdent,4,,,,Poor Connection during call,,,,Patients had difficulties with access,,,3,,,,,,,,,,,,,,,,medent,yes,,"It's a useful adjunct, but in person visits are quantitatively, and qualitatively better"
12068669784,393825455,10/12/2020 10:00,10/12/2020 10:01,72.75.228.146,,,,,32,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,Zoom,,,,,,,,,,4,,,,,,,Difficulties on the patients side,Patients had difficulties with access,,,5 - Definitely would use,,Zoom for Healthcare,,,,Skype,Facetime,,,,,GoToMeeting,,,,,patients are glad to not have to drive to the office for a consult,,pt education needs to improve
12068656854,393825455,10/12/2020 9:56,10/12/2020 9:57,173.225.61.12,,,,,25 years,I have used telemedicine prior to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,,,,,,,,,,Polycom,4,,Difficulty with Login,,,,Poor Video during call,Difficulties on the patients side,Patients had difficulties with access,,,4,,Zoom for Healthcare,,Cisco Webex Meetings / Webex Teams,Microsoft Teams,Skype,Facetime,Google Hangouts or Google Meet,,,,GoToMeeting,,,,,Yes,,
12068637478,393825455,10/12/2020 9:48,10/12/2020 9:51,98.117.179.254,,,,,47,I have used telemedicine prior to the COVID Pandemic,Outpatient,,,,,,Zoom,,,,,Facetime,,,,,3,,,,,,,,,No issues,,3,,Zoom for Healthcare,,Cisco Webex Meetings / Webex Teams,,Skype,Facetime,,,,,GoToMeeting,,,,,patients are more willing to follow through,,easier interfaces for patients with limited connectivity
12068634705,393825455,10/12/2020 9:49,10/12/2020 9:50,128.205.156.224,,,,,36 years,I started using telemedicine due to the COVID Pandemic,Outpatient,Inpatient,,,,Doxy.me,Zoom,Doximity,,,,,,,,,4,,,,,,,,,No issues,,3,Doxy.me,Zoom for Healthcare,Doximity,Cisco Webex Meetings / Webex Teams,Microsoft Teams,Skype,,,,,,,,,,,,,
12068622885,393825455,10/12/2020 9:44,10/12/2020 9:46,67.99.169.42,,,,,28  years,I started using telemedicine due to the COVID Pandemic,Outpatient,,Communication with family,Follow-up Appointments,,Doxy.me,Zoom,Doximity,,,,,,,,,3,,Difficulty with Login,Internet or WIFI issues,Poor Connection during call,,,,,,,4,Doxy.me,Zoom for Healthcare,Doximity,,,,,,,,,,,,,,icnreases access ,,
12068616624,393825455,10/12/2020 9:43,10/12/2020 9:44,67.241.161.162,,,,,5,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,,Zoom,,Cisco Webex,,,,,,,,3,,,,Poor Connection during call,,,,,,,3,,Zoom for Healthcare,Doximity,Cisco Webex Meetings / Webex Teams,,Skype,,Google Hangouts or Google Meet,,,,GoToMeeting,,,Teladoc,,Improved access to care but potential for loss of usefulness without physical examination ,,
12068212549,393825455,10/12/2020 7:12,10/12/2020 7:15,72.231.178.87,,,,,8,I have used telemedicine prior to the COVID Pandemic,Outpatient,,,,,,Zoom,,Cisco Webex,,,,,,,NYSDOCS,4,,Difficulty with Login,,,,,,,,,4,,Zoom for Healthcare,,Cisco Webex Meetings / Webex Teams,Microsoft Teams,Skype,Facetime,Google Hangouts or Google Meet,,,,GoToMeeting,,,,,It’s useful to screen and refer by not complete exam as needed for acute cases ,,
12067085522,393825455,10/11/2020 18:34,10/11/2020 18:38,172.101.112.221,,,,,35,I have used telemedicine prior to the COVID Pandemic,Outpatient,,,Follow-up Appointments,Dialysis visits,Doxy.me,Zoom,,,,,,,,,Phone only,3,Difficulty with Application or Web interface,Difficulty with Login,Internet or WIFI issues,,Poor Audio during call,,,,,,5 - Definitely would use,Doxy.me,Zoom for Healthcare,Doximity,Cisco Webex Meetings / Webex Teams,Microsoft Teams,Skype,Facetime,,,,,GoToMeeting,,,,,avoided unnecessary in person visits,,main limitation is the limited ability for physical exam
12066795486,393825455,10/11/2020 14:22,10/11/2020 14:25,68.133.26.170,,,,,24,I started using telemedicine due to the COVID Pandemic,,Inpatient,,,,,,,,,,,Google Hangout or Google Meet,,,,3,,Difficulty with Login,Internet or WIFI issues,Poor Connection during call,Poor Audio during call,,,,,,3,,,,,Microsoft Teams,Skype,Facetime,Google Hangouts or Google Meet,,,,GoToMeeting,,,,,It was an option to stay connected ,,
12066540285,393825455,10/11/2020 10:47,10/11/2020 10:51,108.183.72.250,,,,,8,I started using telemedicine due to the COVID Pandemic,Outpatient,Inpatient,,Follow-up Appointments,,,Zoom,,,,,,,,,MEDENT (built into outpatient EMR),4,,,,,,,Difficulties on the patients side,,,,5 - Definitely would use,Doxy.me,Zoom for Healthcare,Doximity,Cisco Webex Meetings / Webex Teams,Microsoft Teams,Skype,Facetime,Google Hangouts or Google Meet,,,,GoToMeeting,,,,,Allowed system to function in pandemic.  Some loss of fidelity vs in-person psychiatry.,,"Most important is determining how much to use post-pandemic.  Is generally ""easier"" than having patients come in, but there is some loss of connection (I am child psych).  Determining best balance is key."
12066384585,393825455,10/11/2020 8:31,10/11/2020 8:33,161.136.4.36,,,,,11,I have used telemedicine prior to the COVID Pandemic,,,,,"ED, department of corrections",,,,,,,,,,,unknown,3,Difficulty with Application or Web interface,,,,,,,,,,3,,,,,,,,,,,,,,,,unknown,yes,,
12065274673,393825455,10/10/2020 12:51,10/10/2020 12:53,72.88.90.124,,,,,1,I started using telemedicine due to the COVID Pandemic,Outpatient,,Communication with family,,,,Zoom,,,,,,,,,Telephone,4,,,,,Poor Audio during call,,Difficulties on the patients side,Patients had difficulties with access,,,3,,Zoom for Healthcare,,Cisco Webex Meetings / Webex Teams,,Skype,Facetime,Google Hangouts or Google Meet,,,,,,,,,I think it made it more convenient for patients and physicians for visits that weren’t necessary to take place in person. ,,
12064980038,393825455,10/10/2020 9:25,10/10/2020 9:27,71.186.214.147,,,,,7,I have used telemedicine prior to the COVID Pandemic,Outpatient,,,,,,Zoom,,,,,,,,,,4,,,,Poor Connection during call,,Poor Video during call,,,,,4,,Zoom for Healthcare,,,Microsoft Teams,Skype,Facetime,Google Hangouts or Google Meet,,,,,,,,,Provides reassurance and timely direction,,
12064928987,393825455,10/10/2020 8:50,10/10/2020 8:52,67.252.79.186,,,,,6,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,Doxy.me,,Doximity,,,,,,,,Kaleida Cares,3,,,,Poor Connection during call,Poor Audio during call,,Difficulties on the patients side,Patients had difficulties with access,,,3,Doxy.me,,Doximity,Cisco Webex Meetings / Webex Teams,Microsoft Teams,,Facetime,Google Hangouts or Google Meet,,,,,,,,,,,
12064447424,393825455,10/10/2020 1:26,10/10/2020 1:28,24.156.99.250,,,,,33,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,,,,,Microsoft Teams,,,,,,,3,Difficulty with Application or Web interface,,,,,,,,,,2,,,Doximity,,Microsoft Teams,,,,,,,,,,Teladoc,,Needed during lockdown during pandemic,,
12064339132,393825455,10/9/2020 23:40,10/9/2020 23:43,72.65.50.60,,,,,8,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,,,,,,,,,,Medent,5 - Extremely Satisfied,,,,,,,,,No issues,,5 - Definitely would use,,Zoom for Healthcare,Doximity,Cisco Webex Meetings / Webex Teams,,,,Google Hangouts or Google Meet,,,,,,,,,,,
12064093254,393825455,10/9/2020 20:26,10/9/2020 20:29,98.118.158.10,,,,,19,I have used telemedicine prior to the COVID Pandemic,Outpatient,,,,,,,,,,,Facetime,,,,Medent,4,,,,,,,Difficulties on the patients side,,,,5 - Definitely would use,,,,,,,Facetime,,,,,,,,,,Access is improved,,"Access improvement is spectacular. Downside includes patients wandering around their house, with many interruptions. It's difficult to ""accomplish"" things in these visits, but they do help maintain contiuity.  Best case scenario is where the patient has a question or a goal. Otherwise, the visits tend to degenerate into distracted patients."
12064059939,393825455,10/9/2020 20:04,10/9/2020 20:06,72.65.58.108,,,,,20,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,,,,,,,,,,phone call,4,,,,,,,,,No issues,,4,,,,Cisco Webex Meetings / Webex Teams,Microsoft Teams,,,,,,,GoToMeeting,,,,,"yes, decreased no show rates",,
12064057667,393825455,10/9/2020 20:02,10/9/2020 20:05,68.133.65.234,,,,,3,I have used telemedicine prior to the COVID Pandemic,,,,,Teleradiology,,,,,,,,,,,Home read workstation ,5 - Extremely Satisfied,,,,,,,,,No issues,,5 - Definitely would use,,,,,,,,,,,,,,,,VPN ,,Not in diagnostic radiology ,
12064042243,393825455,10/9/2020 19:49,10/9/2020 19:55,71.186.158.41,,,,,5,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,Dialysis units,,,,Cisco Webex,,,Facetime,,,,,4,Difficulty with Application or Web interface,,,Poor Connection during call,Poor Audio during call,Poor Video during call,,,,Difficulty finding staff to facilitate telemedicine visit at dialysis unit,5 - Definitely would use,,Zoom for Healthcare,,Cisco Webex Meetings / Webex Teams,,,Facetime,,,,,GoToMeeting,,,,,"More convenient to have visits & safer for exposure, but unable to physically examine patient is the major downside",,
12064024832,393825455,10/9/2020 19:40,10/9/2020 19:44,161.136.4.151,,,,,1.5,I started using telemedicine due to the COVID Pandemic,,,Communication with family,,,,Zoom,,,,,,,,,,2,,Difficulty with Login,,,,,,,,,2,,Zoom for Healthcare,,,,,,,,,,,,,,,Made it possible for families to see loved ones while covid positive ,,"Make it easier to access, experienced login difficulties "
12063795147,393825455,10/9/2020 17:40,10/9/2020 17:42,174.224.135.53,,,,,2,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,Zoom,,,,,Facetime,,,,Medent video,3,Difficulty with Application or Web interface,,,,,,Difficulties on the patients side,Patients had difficulties with access,,,2,,Zoom for Healthcare,,,,Skype,Facetime,,,,,,,,,,"No hands-on assessments, not able to do procedures",,
12063634221,393825455,10/9/2020 16:33,10/9/2020 16:35,172.98.75.202,,,,,24,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,,Zoom,,,,,,,,,,4,,,,Poor Connection during call,,Poor Video during call,Difficulties on the patients side,,,,4,,Zoom for Healthcare,,Cisco Webex Meetings / Webex Teams,Microsoft Teams,,Facetime,,,,,GoToMeeting,,,,,connected patients to a provider when face-to-face contact was not an option to them,,
12063616231,393825455,10/9/2020 16:27,10/9/2020 16:28,174.224.135.8,,,,,8,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,Zoom,,,,,,,,,Medent ,4,,,Internet or WIFI issues,,Poor Audio during call,Poor Video during call,,,,,4,,Zoom for Healthcare,Doximity,,,Skype,Facetime,,,,,,,,,,Made access easier. People felt safer,,No
12063458388,393825455,10/9/2020 15:26,10/9/2020 15:28,68.133.68.176,,,,,13 yrs,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,,,,,,,,,,Medent,3,Difficulty with Application or Web interface,,Internet or WIFI issues,Poor Connection during call,Poor Audio during call,Poor Video during call,Difficulties on the patients side,Patients had difficulties with access,,,4,Doxy.me,Zoom for Healthcare,Doximity,,,,Facetime,,,,,,,,,,"Access when not available, saves patient time at provider",,Physical exams are difficult. Screen sharing in MEdent to be improved.
12063442796,393825455,10/9/2020 15:21,10/9/2020 15:22,76.180.138.135,,,,,5,I have used telemedicine prior to the COVID Pandemic,,,,,ER,,Zoom,,,,,,,,,proprietary DOCCS system ,3,,,,,,Poor Video during call,,,,,3,,Zoom for Healthcare,,,,,,,,,,,,,,,Easier access,,Unfortunately it takes time away from ED patients. Dedicated staff could mitigate this. 
12063347297,393825455,10/9/2020 14:44,10/9/2020 14:48,161.136.216.20,,,,,40,I have used telemedicine prior to the COVID Pandemic,Outpatient,,,,"case conferences, meetings",,Zoom,,,,,,,,,,4,,,,,,,,,No issues,,3,,Zoom for Healthcare,,,,Skype,Facetime,,,,,,,,,,the interaction is not as productive,,"not bad for more routine follow-ups. Otherwise, results are variable although patients like it"
12063314691,393825455,10/9/2020 14:30,10/9/2020 14:36,156.40.254.22,,,,,25,I have used telemedicine prior to the COVID Pandemic,Outpatient,,,,,Doxy.me,,,,,,,,,,regular phone calls,4,,,,,,,,,No issues,,2,Doxy.me,,,,,,,,,,,,,,,,Less quality care. Less doctor satisfaction with patient encounters,,I would only use telemedicine if in-person visits are not an option. It would be good to use telemedicine to help people and healthcare workers in remote areas of the world where access to healthcare and medical specialists is not easily available.
12063282274,393825455,10/9/2020 14:23,10/9/2020 14:26,174.224.137.95,,,,,6,I started using telemedicine due to the COVID Pandemic,Outpatient,,Communication with family,,,,Zoom,,,,,Facetime,,,,MedEnt,5 - Extremely Satisfied,,,Internet or WIFI issues,Poor Connection during call,,,Difficulties on the patients side,,,,5 - Definitely would use,,Zoom for Healthcare,Doximity,,,Skype,Facetime,Google Hangouts or Google Meet,,,,GoToMeeting,,,,MedEnt,Access,,"Access, efficiency "
12063278930,393825455,10/9/2020 14:21,10/9/2020 14:23,174.224.134.141,,,,,10,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,Doxy.me,,Doximity,,,,,,,,,4,Difficulty with Application or Web interface,Difficulty with Login,Internet or WIFI issues,Poor Connection during call,Poor Audio during call,Poor Video during call,Difficulties on the patients side,Patients had difficulties with access,,,3,Doxy.me,,Doximity,,,,Facetime,,,,,,,,,,It allowed us to continue to provide care for our patients during the pandemic,,
12063277357,393825455,10/9/2020 14:13,10/9/2020 14:23,72.65.55.190,,,,,8,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,,Zoom,,,,,,,,,,3,,,,,,,,,,Clinic staff didn’t know how to prepare for the televisit.  ,5 - Definitely would use,,Zoom for Healthcare,Doximity,Cisco Webex Meetings / Webex Teams,,,Facetime,,,,,,,,,,"Easy access to care, excellent way for preventive and regular follow up",,"Physicians, clinic staff, and hospital administrators believe telemedicine isn’t as useful as conventional clinics. They aren’t aware that telemedicine is equivalent to traditional care for the outcome. Plz focus first to improve knowledge in provider, clinic, and administrator, then only attitude and practice will change. Patients aren’t the obstacle. Technology is already there; just hospital staff are lagging."
